Unnamed: 0,시도명,시군구명,읍면동명,,대지면적(제곱미터),,,,기준일자,관리기관명,관리기관전화번호,기준일자
0,수원시,팔달구,교동,단독,196.3,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3395,2024.1.30
1,수원시,팔달구,매산로3가,단독,344.0,4,제1종일반주거지역,국유지,2019.9.26,경기도 수원시청,031-228-3396,2024.1.30
2,수원시,팔달구,매향동,단독,195.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3397,2024.1.30
3,수원시,권선구,고색동,단독,214.0,4,준주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3398,2024.1.30
4,수원시,권선구,서둔동,단독,176.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3399,2024.1.30
5,수원시,권선구,서둔동,단독,98.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3400,2024.1.30
6,수원시,팔달구,인계동,단독,20.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3401,2024.1.30
7,수원시,팔달구,매교동,단독,132.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3402,2024.1.30
8,수원시,팔달구,인계동,단독,17.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3403,2024.1.30
9,수원시,권선구,세류동,단독,185.0,4,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3404,2024.1.30
10,수원시,권선구,오목천동,단독,584.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3405,2024.1.30
11,수원시,팔달구,매산로3가,단독,175.0,4,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3406,2024.1.30
12,수원시,팔달구,매교동,단독,96.0,4,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3407,2024.1.30
13,수원시,팔달구,교동,단독,202.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3408,2024.1.30
14,수원시,팔달구,교동,단독,407.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3409,2024.1.30
15,수원시,팔달구,매향동,단독,53.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3410,2024.1.30
16,수원시,팔달구,남수동,단독,56.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3411,2024.1.30
17,수원시,팔달구,남수동,단독,153.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3412,2024.1.30
18,수원시,팔달구,매향동,단독,251.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3413,2024.1.30
19,수원시,권선구,서둔동,단독,142.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3414,2024.1.30
20,수원시,팔달구,매산로3가,단독,89.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3415,2024.1.30
21,수원시,장안구,영화동,단독,129.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3416,2024.1.30
22,수원시,장안구,이목동,단독,155.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3417,2024.1.30
23,수원시,권선구,세류동,단독,141.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3418,2024.1.30
24,수원시,권선구,평동,단독,99.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3419,2024.1.30
25,수원시,권선구,서둔동,단독,158.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3420,2024.1.30
26,수원시,권선구,서둔동,단독,129.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3421,2024.1.30
27,수원시,권선구,세류동,단독,182.0,3,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3422,2024.1.30
28,수원시,팔달구,지동,단독,1375.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3423,2024.1.30
29,수원시,팔달구,매산로3가,단독,182.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3424,2024.1.30
30,수원시,팔달구,매산로3가,단독,96.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3425,2024.1.30
31,수원시,팔달구,지동,단독,142.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3426,2024.1.30
32,수원시,팔달구,매교동,단독,212.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3427,2024.1.30
33,수원시,팔달구,신풍동,단독,112.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3428,2024.1.30
34,수원시,팔달구,신풍동,단독,139.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3429,2024.1.30
35,수원시,팔달구,지동,단독,76.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3430,2024.1.30
36,수원시,팔달구,지동,단독,53.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3431,2024.1.30
37,수원시,장안구,송죽동,단독,139.0,3,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3432,2024.1.30
38,수원시,권선구,세류동,단독,116.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3433,2024.1.30
39,수원시,권선구,고색동,단독,225.0,3,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3434,2024.1.30
40,수원시,팔달구,고등동,단독,142.5,3,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3435,2024.1.30
41,수원시,팔달구,팔달로1가,단독,132.0,3,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3436,2024.1.30
42,수원시,팔달구,교동,단독,50.0,2,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3437,2024.1.30
43,수원시,팔달구,남수동,단독,265.0,1,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3438,2024.1.30
44,수원시,장안구,연무동,연립,42.8,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3439,2024.1.30
45,수원시,장안구,연무동,단독,79.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3440,2024.1.30
46,수원시,장안구,조원동,단독,150.6,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3441,2024.1.30
47,수원시,장안구,연무동,다가구,326.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3442,2024.1.30
48,수원시,장안구,연무동,다세대,38.1,2,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3443,2024.1.30
49,수원시,장안구,율전동,다세대,58.0,1,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3444,2024.1.30
50,수원시,장안구,정자동,다세대,53.8,2,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3445,2024.1.30
51,수원시,장안구,조원동,다세대,45.5,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3446,2024.1.30
52,수원시,장안구,하광교동,다세대,36.6,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3447,2024.1.30
53,수원시,장안구,정자동,단독,227.9,2,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3448,2024.1.30
54,수원시,장안구,파장동,단독,203.3,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3449,2024.1.30
55,수원시,권선구,세류동,단독,168.0,2,준주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3450,2024.1.30
56,수원시,권선구,고색동,다세대,35.8,1,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3451,2024.1.30
57,수원시,권선구,권선동,다세대,39.8,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3452,2024.1.30
58,수원시,권선구,권선동,아파트,40.4,1,제2종일반주거지역,기타단체,2019.9.26,경기도 수원시청,031-228-3453,2024.1.30
59,수원시,권선구,금곡동,다세대,37.4,1,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3454,2024.1.30
60,수원시,권선구,금곡동,아파트,59.3,1,제3종일반주거지역,기타단체,2019.9.26,경기도 수원시청,031-228-3455,2024.1.30
61,수원시,권선구,당수동,아파트,60.0,1,제2종일반주거지역,기타단체,2019.9.26,경기도 수원시청,031-228-3456,2024.1.30
62,수원시,팔달구,매교동,단독,159.0,2,일반상업지역,사유지,2019.9.26,경기도 수원시청,031-228-3457,2024.1.30
63,수원시,팔달구,매산로3가,단독,165.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3458,2024.1.30
64,수원시,팔달구,지동,단독,53.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3459,2024.1.30
65,수원시,팔달구,지동,다세대,45.6,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3460,2024.1.30
66,수원시,팔달구,우만동,다세대,40.0,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3461,2024.1.30
67,수원시,팔달구,매산로3가,단독,132.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3462,2024.1.30
68,수원시,팔달구,신풍동,단독,115.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3463,2024.1.30
69,수원시,팔달구,우만동,다세대,32.1,1,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3464,2024.1.30
70,수원시,팔달구,지동,단독,93.0,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3465,2024.1.30
71,수원시,영통구,매탄동,아파트,46.8,2,제3종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3466,2024.1.30
72,수원시,영통구,원천동,다세대,36.4,2,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3467,2024.1.30
73,수원시,영통구,원천동,다세대,36.4,2,제1종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3468,2024.1.30
74,수원시,영통구,매탄동,다가구,392.0,2,일반공업지역,사유지,2019.9.26,경기도 수원시청,031-228-3469,2024.1.30
75,수원시,영통구,원천동,다세대,41.4,2,제2종일반주거지역,사유지,2019.9.26,경기도 수원시청,031-228-3470,2024.1.30
