Unnamed: 0,Unnamed: 1,Unnamed: 2,시도명,Unnamed: 4,Unnamed: 5,Unnamed: 6,행정동,Unnamed: 8,지역명칭,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,2021,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,1,23154,0.0
1,2021,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011600,복용동,110,457,24.07
2,2021,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,3,23429,0.01
3,2021,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동,1,4047,0.02
4,2021,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020011700,장대동,15,12481,0.12
5,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,10,12224,0.08
6,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015200,둔곡동,1,31,3.23
7,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012100,죽동,2,801,0.25
8,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015000,금탄동,5,150,3.33
9,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동,1,18367,0.01
10,2021,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,3,1061,0.28
11,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,9,395,2.28
12,2021,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,45,11110,0.41
13,2021,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,7,15327,0.05
14,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013800,외삼동,4,521,0.77
15,2021,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,1,498,0.2
16,2021,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011600,복용동,0,922,0.0
17,2021,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동,0,585,0.0
18,2021,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,0,14883,0.0
19,2021,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,0,6839,0.0
20,2021,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동,0,24453,0.0
21,2021,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,1,22168,0.0
22,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,158,4854,3.26
23,2021,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,1,4588,0.02
24,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,9,401,2.24
25,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010900,송정동,11,354,3.11
26,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013200,하기동,2,138,1.45
27,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동,5,11072,0.05
28,2021,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,2,12669,0.02
29,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013900,반석동,0,31,0.0
30,2021,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,0,6141,0.0
31,2021,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,0,12168,0.0
32,2021,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012100,죽동,0,168,0.0
33,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014800,금고동,0,5,0.0
34,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013300,추목동,0,2975,0.0
35,2021,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012100,죽동,0,10389,0.0
36,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013200,하기동,0,10495,0.0
37,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012900,방현동,0,4,0.0
38,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동,0,11860,0.0
39,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012800,장동,0,128,0.0
40,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013600,수남동,0,110,0.0
41,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,0,753,0.0
42,2021,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012300,어은동,1,10032,0.01
43,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,8,4783,0.17
44,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013500,신봉동,0,2197,0.0
45,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013100,덕진동,0,42,0.0
46,2021,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동,0,15152,0.0
47,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015100,신동,0,4,0.0
48,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동,6,8314,0.07
49,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,10,357,2.8
50,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014900,대동,5,319,1.57
51,2021,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,2,8189,0.02
52,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020015300,구룡동,2,124,1.61
53,2021,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014200,원촌동,4,641,0.62
54,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,6,232,2.59
55,2021,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,457,1547,29.54
56,2021,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012200,궁동,5,6040,0.08
57,2021,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013700,안산동,2,412,0.49
58,2021,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013400,자운동,2,118,1.69
59,2021,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,1,408,0.25
60,2021,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동,3,8091,0.04
