Unnamed: 0,,주소,시군구명,지역명칭,행정동,,등급,기준일자
0,1,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
1,2,서울특별시 강북구 미아동 53-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
2,3,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
3,4,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
4,5,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
5,6,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
6,7,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
7,8,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
8,9,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
9,10,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
10,11,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
11,12,서울특별시 강북구 미아동 837-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
12,13,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,4등급,2024-04-19
13,14,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,1등급,2024-04-19
14,15,서울특별시 강북구 수유동 486-***,강북구,수유동,삼양동,단독주택,4등급,2024-04-19
15,16,서울특별시 강북구 우이동 72-***,강북구,우이동,삼양동,단독주택,4등급,2024-04-19
16,17,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
17,18,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
18,19,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
19,20,서울특별시 강북구 미아동 1261-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
20,21,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
21,22,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
22,23,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
23,24,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
24,25,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
25,26,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
26,27,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
27,28,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
28,29,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
29,30,서울특별시 강북구 미아동 1264-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
30,31,서울특별시 강북구 미아동 136-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
31,32,서울특별시 강북구 미아동 222-***,강북구,미아동,미아동,단독주택,1등급,2024-04-19
32,33,서울특별시 강북구 미아동 380-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
33,34,서울특별시 강북구 미아동 42-***,강북구,미아동,송중동,다세대,1등급,2024-04-19
34,35,서울특별시 강북구 미아동 424-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
35,36,서울특별시 강북구 미아동 436-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
36,37,서울특별시 강북구 미아동 439-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
37,38,서울특별시 강북구 미아동 637-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
38,39,서울특별시 강북구 미아동 637-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
39,40,서울특별시 강북구 미아동 734-***,강북구,미아동,송천동,단독주택,1등급,2024-04-19
40,41,서울특별시 강북구 미아동 734-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
41,42,서울특별시 강북구 미아동 762-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
42,43,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
43,44,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
44,45,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
45,46,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
46,47,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
47,48,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
48,49,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
49,50,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
50,51,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
51,52,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
52,53,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
53,54,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
54,55,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
55,56,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
56,57,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
57,58,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
58,59,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
59,60,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
60,61,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
61,62,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
62,63,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
63,64,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
64,65,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
65,66,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
66,67,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
67,68,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
68,69,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
69,70,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
70,71,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
71,72,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
72,73,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
73,74,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
74,75,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
75,76,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
76,77,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
77,78,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
78,79,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
79,80,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
80,81,서울특별시 강북구 번동 186-***,강북구,번동,번3동,단독주택,2등급,2024-04-19
81,82,서울특별시 강북구 번동 437-***,강북구,번동,번2동,단독주택,1등급,2024-04-19
82,83,서울특별시 강북구 수유동 1-***,강북구,수유동,수유3동,단독주택,1등급,2024-04-19
83,84,서울특별시 강북구 수유동 130-***,강북구,수유동,수유3동,단독주택,1등급,2024-04-19
84,85,서울특별시 강북구 수유동 356-***,강북구,수유동,인수동,단독주택,2등급,2024-04-19
85,86,서울특별시 강북구 수유동 405-***,강북구,수유동,인수동,연립,1등급,2024-04-19
86,87,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
87,88,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
88,89,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
89,90,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
90,91,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
91,92,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,2등급,2024-04-19
92,93,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
93,94,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
94,95,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,연립,2등급,2024-04-19
95,96,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
96,97,서울특별시 강북구 수유동 산162-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
97,98,서울특별시 강북구 우이동 1-***,강북구,우이동,우이동,아파트,1등급,2024-04-19
98,99,서울특별시 강북구 우이동 154-***,강북구,우이동,우이동,연립,1등급,2024-04-19
99,100,서울특별시 강북구 우이동 215-***,강북구,우이동,우이동,단독주택,1등급,2024-04-19
100,101,서울특별시 강북구 우이동 68-***,강북구,우이동,우이동,단독주택,4등급,2024-04-19
101,102,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
102,103,서울특별시 강북구 미아동 165-***,강북구,미아동,미아동,다세대,1등급,2024-04-19
103,104,서울특별시 강북구 미아동 258-***,강북구,미아동,미아동,다세대,1등급,2024-04-19
104,105,서울특별시 강북구 미아동 416-***,강북구,미아동,송천동,다세대,1등급,2024-04-19
105,106,서울특별시 강북구 미아동 43-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
106,107,서울특별시 강북구 미아동 762-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
107,108,서울특별시 강북구 미아동 762-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
108,109,서울특별시 강북구 미아동 788-***,강북구,미아동,삼양동,다가구주택,1등급,2024-04-19
109,110,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,다세대,1등급,2024-04-19
110,111,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
111,112,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
112,113,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,다세대,1등급,2024-04-19
113,114,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
114,115,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
115,116,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
116,117,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,다세대,1등급,2024-04-19
117,118,서울특별시 강북구 미아동 796-***,강북구,미아동,삼양동,아파트,1등급,2024-04-19
118,119,서울특별시 강북구 미아동 8-***,강북구,미아동,송중동,연립,2등급,2024-04-19
119,120,서울특별시 강북구 수유동 440-***,강북구,수유동,인수동,단독주택,2등급,2024-04-19
120,121,서울특별시 강북구 수유동 47-***,강북구,수유동,인수동,다세대,1등급,2024-04-19
121,122,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,다세대,1등급,2024-04-19
122,123,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,다세대,2등급,2024-04-19
123,124,서울특별시 강북구 수유동 524-***,강북구,수유동,인수동,단독주택,2등급,2024-04-19
124,125,서울특별시 강북구 수유동 597-***,강북구,수유동,우이동,다가구주택,1등급,2024-04-19
125,126,서울특별시 강북구 수유동 704-***,강북구,수유동,수유2동,다세대,1등급,2024-04-19
126,127,서울특별시 강북구 우이동 21-***,강북구,우이동,우이동,다세대,1등급,2024-04-19
127,128,서울특별시 강북구 우이동 64-***,강북구,우이동,우이동,다가구주택,1등급,2024-04-19
128,129,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,4등급,2024-04-19
129,130,서울특별시 강북구 미아동 1261-***,강북구,미아동,송천동,단독주택,3등급,2024-04-19
130,131,서울특별시 강북구 미아동 136-***,강북구,미아동,송중동,단독주택,4등급,2024-04-19
131,132,서울특별시 강북구 미아동 137-***,강북구,미아동,송중동,단독주택,4등급,2024-04-19
132,133,서울특별시 강북구 미아동 139-***,강북구,미아동,송중동,다가구주택,1등급,2024-04-19
133,134,서울특별시 강북구 미아동 460-***,강북구,미아동,송천동,단독주택,2등급,2024-04-19
134,135,서울특별시 강북구 미아동 687-***,강북구,미아동,삼각산동,단독주택,4등급,2024-04-19
135,136,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
136,137,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,다세대,2등급,2024-04-19
137,138,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
138,139,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
139,140,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
140,141,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
141,142,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
142,143,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
143,144,서울특별시 강북구 번동 461-***,강북구,번동,번1동,단독주택,2등급,2024-04-19
144,145,서울특별시 강북구 번동 471-***,강북구,번동,번1동,단독주택,3등급,2024-04-19
145,146,서울특별시 강북구 번동 526-***,강북구,번동,번2동,단독주택,3등급,2024-04-19
146,147,서울특별시 강북구 번동 526-***,강북구,번동,번2동,단독주택,4등급,2024-04-19
147,148,서울특별시 강북구 수유동 130-***,강북구,수유동,수유3동,단독주택,4등급,2024-04-19
148,149,서울특별시 강북구 수유동 170-***,강북구,수유동,수유3동,단독주택,1등급,2024-04-19
149,150,서울특별시 강북구 수유동 313-***,강북구,수유동,인수동,단독주택,3등급,2024-04-19
150,151,서울특별시 강북구 수유동 338-***,강북구,수유동,수유2동,아파트,2등급,2024-04-19
151,152,서울특별시 강북구 수유동 410-***,강북구,수유동,인수동,다세대,1등급,2024-04-19
152,153,서울특별시 강북구 수유동 516-***,강북구,수유동,인수동,다가구주택,1등급,2024-04-19
153,154,서울특별시 강북구 수유동 735-***,강북구,수유동,삼양동,단독주택,1등급,2024-04-19
154,155,서울특별시 강북구 우이동 29-***,강북구,우이동,우이동,단독주택,4등급,2024-04-19
155,156,서울특별시 강북구 미아동 130-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
156,157,서울특별시 강북구 미아동 159-***,강북구,미아동,미아동,단독주택,2등급,2024-04-19
157,158,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
158,159,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
159,160,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
160,161,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
161,162,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
162,163,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
163,164,서울특별시 강북구 미아동 793-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
164,165,서울특별시 강북구 수유동 468-***,강북구,수유동,수유1동,단독주택,2등급,2024-04-19
165,166,서울특별시 강북구 수유동 472-***,강북구,수유동,수유1동,단독주택,1등급,2024-04-19
166,167,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
167,168,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
